,book_id,title,author,lang,ratings,tags
0,1,Birds of India : Pakistan Nepal Bhutan and Srilanka, unknown,English,4.5,High School
1,2,Sampurna Chanakya Neeti, Aachrya Vishwamitra Sharma,Hindi,4.4,High School
2,3,Indian Navy Secondary SSR Guide 2019, unknown,English,4.3,High School
3,4,Objective Ncert at Your Fingertips for Neet-Aiims - Bio..., unknown,English,4.6,High School
4,5,Bhartiya Nausena Senior 2ary (SSR) 2019, Paperback,Hindi,4.3,High School
5,6,Objective Ncert at Your Fingertips for class XI+XII - C..., Paperback, unknown,4.5,High School
6,7,Target High, Paperback, unknown,4.5,High School
7,8,"Diseases of Ear, Nose and Throat", Paperback, Dhingra P. L.,4.5,High School
8,9,Concepts of Phyics: v. 1, Paperback, Verma H.C.,4.5,High School
9,10,"Robbins & Cotran Pathologic Basis of Disease, 10e: Sout...", FRCPath Dr. Kumar Vinay, MBBS,4.6,High School
10,11,"Pharmacology for Medical Graduates, 4th Updated Edition", Dr. Shanbhag Tara V.,English,4.5,High School
11,12,Ghai Essential Pediatrics - Ghai Essential Pediatrics, Paul V.K.,English,4.6,High School
12,13,Mathematics Textbook for Class XI, unknown,English,4.2,High School
13,14,A Naturalist's Guide To The Reptiles Of India, Das Indraneil,English,4.3,High School
14,15,Ross and Wilson Anatomy and Physiology in Health and Il..., BSc PhD RGN Waugh Anne,English,4.5,High School
15,16,Essentials of Medical Physiology - Essentials of Medica..., Sembulingam K,English,4.6,High School
16,17,Fast Track Objective Arithmetic, Verma Rajesh,English,4.5,High School
17,18,Essentials of Medical Microbiology, Sastry S Apurba,English,4.5,High School
18,19,Ananthanarayan and Paniker's Textbook of Microbiology, C.K. Jayaram Paniker R. Ananthanarayan,English,4.4,High School
19,20,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...", Sachdeva Pardeep,English,4.2,High School
20,21,33 Years Neet-Aipmt Chapterwise Solutions - Physics 202..., unknown,English,4.6,High School
21,22,Essentials of Medical Pharmacology, Tripathi KD,English,4.5,High School
22,23,Physics Galaxy: Advanced Illustration in Physics 1 Edit..., Arora Ashish,English,4.5,High School
23,24,A Naturalist's Guide to the Mammals of India, Grewal Bikram,English,4.3,High School
24,25,SRB's Manual of Surgery, Bhat M Sriram,English,4.5,High School
25,26,Problems in Physical Chemistry for Jee Main & Advanced, Avasthi Narendra,English,4.5,High School
26,27,Lucent's Samanya Gyan, Singh S K,Hindi,4.4,High School
27,28,Objective Ncert at Your Fingertips for Neet-Aiims - Phy..., unknown,English,4.5,High School
28,29,Understanding Physics for Jee Main and Advanced Mechani..., Pandey D.C.,English,4.5,High School
29,30,Why We Sleep, Walker Matthew,English,4.5,High School
30,31,BD Chaurasia's Handbook of General Anatomy, Garg Krishna,English,4.6,High School
31,32,33 Years Neet-Aipmt Chapterwise Solutions - Chemistry 2..., unknown,English,4.6,High School
32,33,Davidson's Principles and Practice of Medicine Internat..., unknown,English,4.5,High School
33,34,Physics Galaxy 2021, Arora Ashish,English,4.6,High School
34,35,Law of Torts with Consumer Protection Act, Bangia R.K.,English,4.5,High School
35,36,Understanding Physics for Jee Main and Advanced Electri..., Pandey D.C.,English,4.6,High School
36,37,33 Years Neet-Aipmt Chapterwise Solutions - Biology 202..., unknown,English,4.6,High School
37,38,Ubd1960 Errorless Physics for Neet as Per New Pattern b..., unknown,English,4.5,High School
38,39,Advanced Problems in Organic Chemistry for Jee (with So..., Chauhan M.S.,English,4.4,High School
39,40,"Hurst's the Heart, 14th Edition: Two Volume Set", Fuster Valentin,English,5,High School
40,41,Alex Rider 10 Book Collection, Horowitz Anthony,English,4.6,Action And Adventure Books
41,42,"A Bride, A Murder and a trail of blood - A Bride, A Mur...", Laxmi Natraj,English,5,Action And Adventure Books
42,43,The Magic Of The Lost Temple, Murty Sudha,English,5,Action And Adventure Books
43,44,Haunted Castle #46, Stilton Geronimo,English,4.4,Action And Adventure Books
44,45,The Book Thief, Zusak Markus,English,5,Action And Adventure Books
45,46,Percy Jackson and the Battle of the Labyrinth (Book 4), Riordan Rick,English,4,Action And Adventure Books
46,47,Percy Jackson and the Titan's Curse (Book 3), Riordan Rick,English,4.5,Action And Adventure Books
47,48,The Lost Hero (Heroes of Olympus Book 1), Riordan Rick,English,5,Action And Adventure Books
48,49,The Son of Neptune (Heroes of Olympus Book 2), Riordan Rick,English,5,Action And Adventure Books
49,50,Percy Jackson and the Sea of Monsters (Book 2), Riordan Rick,English,4.5,Action And Adventure Books
50,51,The Tyrant's Tomb (The Trials of Apollo Book 4), Riordan Rick,English,4,Action And Adventure Books
51,52,The Dragon of Fortune - An Epic Kingdom of Fantasy Adve..., Geronimo Stilton,English,3,Action And Adventure Books
52,53,Percy Jackson and the Last Olympian (Book 5), Riordan Rick,English,4.5,Action And Adventure Books
53,54,A sip of Love & A sip of Coffee, Ganga Bharani,English,4,Action And Adventure Books
54,55,The Phoenix of Destiny, Stilton Geronimo,English,4,Action And Adventure Books
55,56,Haroun And The Sea Of Stories, unknown,English,4.9,Action And Adventure Books
56,57,Shoot. Dive. Fly., Rawat Rachna Bisht,English,4.8,Action And Adventure Books
57,58,Cinderella Is Dead, Bayron Kalynn,English,4.6,Action And Adventure Books
58,59,Percy Jackson and the Greek Heroes, Riordan Rick,English,4.4,Action And Adventure Books
